temp_2013,temp_2014,temp_2015,irrad_2013,irrad_2014,irrad_2015
25.4,24.3,25.4,0,0,0
25.4,24.2,25.3,0,0,0
25.4,24.2,25.3,0,0,0
25.4,24.2,25.2,0,0,0
25.4,24.2,25.1,0,0,0
25.3,24.3,25,0,0,0
25.3,24.3,24.8,0,0,0
25.3,24.3,24.6,0,0,0
25.4,24.3,24.5,0,0,0
25.3,24.6,24.3,0,0,0
25.3,24.5,24.2,0,0,0
25.3,24.5,24.1,0,0,0
25.2,24.5,24,0,0,0
25.2,24.5,24,0,0,0
25.2,24.6,24.1,0,0,0
25.2,24.5,24.1,0,0,0
25.2,24.5,24,0,0,0
25.1,24.5,24,0,0,0
25.1,24.5,23.9,0,0,0
25.1,24.5,23.9,0,0,0
25.1,24.4,23.9,0,0,0
25.1,24.4,23.9,0,0,0
25.1,24.3,23.9,0,0,0
25.1,24.3,23.9,0,0,0
25.1,24.3,24,0,0,0
25.1,24.3,24,0,0,0
25.1,24.2,24.1,0,0,0
25.1,24.1,24.1,0,0,0
25.1,24,24.2,0,0,0
25.1,24,24.3,0,0,0
25,23.9,24.3,0,0,0
25,23.9,24.3,0,0,0
25,24,24.4,0,0,0
24.9,24,24.5,0,0,0
24.9,23.9,24.5,0,0,0
24.9,23.8,24.5,0,0,0
24.8,23.8,24.4,0,0,0
24.8,23.8,24.3,0,0,0
24.8,23.8,24.3,0,0,0
24.8,23.8,24.2,0,0,0
24.8,23.8,24.1,0,0,0
24.8,23.8,24,0,0,0
24.8,23.8,24.2,0,0,0
24.8,23.8,24.4,0,0,0
24.8,23.8,24.4,0,0,0
24.8,23.8,24.5,0,0,0
24.8,23.8,24.4,0,0,0
24.7,23.7,24.3,0,0,0
24.7,23.7,24.3,0,0,0
24.7,23.6,24.2,0,0,0
24.7,23.5,24.1,0,0,0
24.7,23.5,24.1,0,0,0
24.7,23.6,24.1,0,0,0
24.7,23.6,24.2,0,0,0
24.7,23.5,24.2,0,0,0
24.7,23.5,24.2,0,0,0
24.8,23.6,24.2,0,0,0
24.8,23.6,24.2,0,0,0
24.8,23.6,24.2,0,0,0
24.9,23.6,24.2,0,0,0
24.9,23.5,24.2,0,0,0
25,23.6,24.3,0,0,0
25,23.6,24.3,0,0,0
24.9,23.5,24.3,0,0,0
24.9,23.4,24.2,0,0,0
24.9,23.3,24.2,0,0,0
